point,score,note
Viewport / adaptation écran,4,"Contrôle meta viewport, Phaser Scale FIT, resize et comportement écrans étroits."
Contrôles tactiles / ergonomie pouce,5,"Contrôle pointer/touch/swipe, clavier fallback, zones d’action."
Safe area / zones coupées,3,"Contrôle encoches, bas d’écran Android, boutons proches du bord."
Lisibilité grille / HUD,5,"Contrôle priorité grille, tailles textes, profondeur des sprites/UI."
Assets / poids / chargement,3,"Contrôle poids images, runtime assets, absence anciens pipelines."
Performance runtime Phaser,4,"Contrôle timers, tweens, particules, destroy et charge scène."
Build / bundle / preview,5,Contrôle check/build et taille dist.
Accessibilité mobile,4,"Contrôle contraste, audio/mute, motion, lisibilité."
Nettoyage résidus,4,Contrôle dossiers résiduels assets/pipelines.
Debug / logs / robustesse,3,"Contrôle console, TODO, pratiques risquées."
