asset_or_element,path,used,used_by,source_type,issue_type,probable_cause,recommended_action,priority,notes
Kombat finish token,public/assets/runtime/universes/kombat/pickup_finish_token.png,yes,"src/assets/runtimeUniverseAssets.ts pickup; src/scenes/GameScene.ts PickupRenderer; kombat_normal",PNG runtime,asset source/contrast,"Red/orange 1254x1254 source sits on red board; halo is too weak to separate it","Regenerate or replace with higher-contrast token; code can add outline/halo as mitigation",P0,"1092 VQA-001; source resolution is large enough, palette is the problem"
Kombat boss board/background,public/assets/ui/kombat/kombat_boss_system_bg.png,yes,"UNIVERSE_RESULT_SCREEN_ASSETS via GameScene background; kombat_boss",PNG background,contrast/renderer,"Boss board, background, boss sprites, and danger states all collapse into dark tones","Correct code lighting/board contrast and consider brighter boss-state assets",P0,"1092 VQA-002; not a low-resolution asset"
Shinobi boss background/render state,public/assets/ui/shinobi/shinobi_boss_system_bg.png,yes,"UNIVERSE_RESULT_SCREEN_ASSETS via GameScene background; shinobi_boss",PNG background/render fragility,renderer/fallback,"Headless capture was fully black; may be timing/preload/fallback or scene palette issue","Investigate runtime load/timing/fallback before replacing asset",P0,"1092 VQA-003; asset itself is 941x1672 and large enough"
Global runtime smoothing,src/main.ts; src/render/PickupRenderer.ts; src/render/ObstacleRenderer.ts,yes,"all gameplay and boss levels",procedural/renderer,renderer/scaling,"render.antialias true plus FilterMode.LINEAR on pickups/obstacles/bosses","Code fix: define NEAREST/LINEAR policy by asset family",P1,"1092 VQA-010; affects both tiny upscales and huge downscales"
Secondary pickups all universes,public/assets/runtime/universes/*/pickup_secondary.png,yes/fragile,"preloaded by RuntimeAssetResolver; assigned by GameScene; displayed only for odd-index active pickups",PNG runtime,asset source/scaling/legacy-suspect,"All seven files are 32x32 and around 141-218 bytes, then displayed near 57 CSS px on mobile","Keep temporarily; regenerate to 256x256 if alternate pickup visuals remain desired",P1,"Wired in code, but actual display is limited because most mechanics return one active pickup"
Sonic secondary pickup,public/assets/runtime/universes/sonic/pickup_secondary.png,wired but rarely displayed,"RUNTIME_UNIVERSE_ASSETS pickupSecondary; PickupRenderer odd pickup index; sonic_normal returns one active chain pickup",PNG runtime,asset source/legacy-suspect,"32x32 source is too small; current Sonic mechanic usually exposes one active pickup","Do not delete yet; verify design need, then regenerate or remove registry binding in later patch",P2,"Low deletion risk for current visuals but code still expects the asset if multiple pickups appear"
Streets secondary pickup,public/assets/runtime/universes/streets/pickup_secondary.png,wired but rarely displayed,"RUNTIME_UNIVERSE_ASSETS pickupSecondary; generic normal pickup count is one",PNG runtime,asset source/legacy-suspect,"32x32 source; no current mechanic creates a second simultaneous pickup in normal flow","Do not delete yet; classify as legacy-suspect until mechanic intent is decided",P2,"Deletion would create preload miss only if registry is not updated"
Fighter secondary pickup,public/assets/runtime/universes/fighter/pickup_secondary.png,wired but rarely displayed,"RUNTIME_UNIVERSE_ASSETS pickupSecondary; generic normal pickup count is one",PNG runtime,asset source/legacy-suspect,"32x32 source; current flow generally has one active pickup","Do not delete yet; replace only if multi-pickup mechanic is planned",P2,"More a registry-era leftover than an observed live issue"
OutRun secondary pickup,public/assets/runtime/universes/outrun/pickup_secondary.png,wired but not normally displayed,"RUNTIME_UNIVERSE_ASSETS pickupSecondary; GameScene overrides primary pickup with OpenMoji trophy; OutRunLaneMechanic returns one checkpoint",PNG runtime,asset source/legacy-suspect,"32x32 source and primary texture override make display unlikely","Keep temporarily; likely removable after registry cleanup",P2,"OutRun visual quality issue is not caused by this asset today"
Shinobi secondary pickup,public/assets/runtime/universes/shinobi/pickup_secondary.png,wired but rarely displayed,"RUNTIME_UNIVERSE_ASSETS pickupSecondary; ShinobiFocusMechanic returns one real target",PNG runtime,asset source/legacy-suspect,"32x32 source; decoys render as extra entities rather than pickupSecondary","Do not delete yet; likely legacy-suspect",P2,"Shinobi primary issue is shuriken contrast, not secondary"
Kombat secondary pickup,public/assets/runtime/universes/kombat/pickup_secondary.png,wired but rarely displayed,"RUNTIME_UNIVERSE_ASSETS pickupSecondary; generic normal pickup count is one",PNG runtime,asset source/legacy-suspect,"32x32 source; active P0 is primary finish token contrast","Keep temporarily; not the Kombat P0 cause",P2,"Could be removed only with registry/preload cleanup"
Paperboy secondary pickup,public/assets/runtime/universes/paperboy/pickup_secondary.png,yes/active in delivery phases,"RUNTIME_UNIVERSE_ASSETS pickupSecondary; PaperboyDeliveryMechanic can add two delivery pickups after paper is collected",PNG runtime,asset source/scaling,"32x32 source can be used for the second active pickup due odd index rendering","Regenerate to 256x256 or replace with appropriate delivery/target visual",P1,"Highest-confidence live secondary usage"
Shinobi shuriken,public/assets/runtime/universes/shinobi/pickup_shuriken.png,yes,"shinobi_normal pickup; PickupRenderer",PNG runtime,contrast,"256x256 source is adequate but gray/cyan shape is weak on dark board","Code can strengthen halo/outline; user may replace if icon silhouette remains weak",P1,"Not a resolution failure"
Castle ghost obstacles,public/assets/runtime/universes/castle/icon_obstacle_brick.svg; public/assets/runtime/universes/castle/icon_danger_impact.svg; public/assets/runtime/universes/castle/icon_danger_fire.svg,yes,"CASTLE_OPENMOJI_ICONS; GameScene entityTextureResolver; blinkWall/witchMirror states",SVG OpenMoji/procedural,contrast/effect,"Vector icons are fine, but alpha/telegraph states are too transparent on maroon/dark board","Code fix: raise minimum alpha/outline for ghost and warning states",P1,"Do not regenerate source SVGs for this issue"
Fighter boss sprites,public/assets/runtime/universes/fighter/boss_idle.png; public/assets/runtime/universes/fighter/boss_attack.png,yes,"fighter_boss; GameScene boss texture resolver; ObstacleRenderer",PNG runtime,scaling/contrast,"1254x1254 generated sprites downscaled to about 2.2 cells and palette is close to background","Code fix for scale/outline; optionally pre-resize or regenerate clearer 256px boss sprites",P1,"Source is large, not low-res; detail is lost at runtime size"
Streets boss sprites/crowd,public/assets/runtime/universes/streets/boss_idle.png; public/assets/runtime/universes/streets/boss_attack.png; public/assets/runtime/universes/streets/obstacle_crowd.png,yes,"streets_boss; StreetsCrowdMechanic; GameScene boss texture resolver",PNG runtime/procedural,procedural/contrast,"Crowd density and similarly styled entities compete with CrimeLord sprite","Code fix: separate boss scale/outline and reduce crowd visual competition",P1,"Asset replacement optional, not first move"
