point,score,note
Build / stabilité,5,Le projet doit compiler et être stable avant production.
GameScene / gameplay réel,3,"Le cœur gameplay doit charger, afficher et maintenir les règles sans régression."
Lisibilité mobile,5,La grille et les objets doivent rester lisibles sur petit écran.
Câblage des 24 assets,5,Les assets existent; il faut confirmer leur usage en runtime.
Cohérence des 8 univers,5,Chaque univers doit être identifiable et mécaniquement distinct.
WorldMap / progression,4,La progression doit guider le joueur entre niveaux et univers.
Écrans intro / victoire / game over,5,"Les transitions doivent expliquer, récompenser et relancer proprement."
Nettoyage assets / dossiers résiduels,4,Le build final ne doit garder que les assets utiles.
Textes français,2,Les textes visibles doivent être cohérents en français.
QA finale Android,3,La validation doit être faite sur appareils / tailles Android.
