id,screen_or_universe,issue_type,description,probable_cause,priority,recommended_patch
VQA-001,kombat normal,contraste faible,"Pickup finish token quasi invisible sur fond rouge sang.","Palette asset proche du board + halo trop discret.",P0,"PATCH 1093 - Runtime Icon Rendering Quality Fix"
VQA-002,kombat boss,background masque / contraste faible,"Board boss presque noir; boss hazards et weakpoints indiscernables.","Background/grille trop sombres et entites sans contour lumineux.",P0,"PATCH 1094 - Kombat/Shinobi Boss Render Fix"
VQA-003,shinobi boss,rendu absent,"Capture entierement noire.","Possible preload/timing/fallback manquant ou scene trop sombre si image absente.",P0,"PATCH 1094 - Kombat/Shinobi Boss Render Fix"
VQA-004,all universes,blur / basse resolution,"pickup_secondary.png 32x32 upscaled vers environ 57px CSS.","Asset source trop petit + FilterMode.LINEAR.",P1,"PATCH 1093 - Rendering Sharpness / Canvas Scaling Fix"
VQA-005,shinobi normal,icone trop petite / contraste faible,"Shuriken gris difficile a voir sur board sombre.","Palette proche du fond + halo cyan/clair insuffisant.",P1,"PATCH 1094 - Runtime Icon Rendering Quality Fix"
VQA-006,castle normal,effet trop transparent,"BlinkWall/obstacles OpenMoji quasi invisibles en ghost state.","Alpha 0.24-0.62 trop faible sur fond maroon.",P1,"PATCH 1096 - Procedural Effects Readability Pass"
VQA-007,fighter boss,mauvais scaling / contraste faible,"Boss trop petit et doux sur fond rouge.","PNG 1254px fortement downscale + palette proche du background.",P1,"PATCH 1096 - Procedural Effects Readability Pass"
VQA-008,streets boss,procedural cheap / surcharge,"CrimeLord perdu dans une foule d'entites similaires.","Densite crowd elevee et boss de meme taille/style.",P1,"PATCH 1096 - Procedural Effects Readability Pass"
VQA-009,sonic boss,pixelisation/blur,"LoopSerpent apparait mou malgre source haute resolution.","Downscale extreme avec filtre LINEAR.",P1,"PATCH 1093 - Rendering Sharpness / Canvas Scaling Fix"
VQA-010,global,image smoothing,"Pixel-art runtime adouci globalement.","antialias:true + setFilter(LINEAR) sur pickups obstacles boss.",P1,"PATCH 1093 - Rendering Sharpness / Canvas Scaling Fix"
VQA-011,paperboy HUD,texte mal aligne / fit,"Label HUD abrege a PAPER au lieu de PAPERBOY.","Capsule trop courte pour texte long en pixel font.",P2,"PATCH 1095 - Screen Layout Visual Polish"
VQA-012,worldmap,blur leger,"Carte legerement douce.","Image AI-art et scale/crop perceptuellement doux.",P2,"PATCH 1095 - Screen Layout Visual Polish"
VQA-013,castle boss,procedural surcharge,"Boss WitchMirror peu distinct parmi etoiles et leurres.","Trop d'icones semblables dans la zone boss.",P2,"PATCH 1096 - Procedural Effects Readability Pass"
VQA-014,streets/fighter/kombat,asset incoherent,"Fonds AI-art realistes contre sprites pixel-art.","Familles d'assets issues de pipelines differents.",P2,"PATCH later - DA harmonization"
VQA-015,all dark boards,effet trop discret,"Halos pickups/glows ne suffisent pas toujours a separer les entites.","Alpha 0.10-0.30 trop bas pour backgrounds sombres.",P1,"PATCH 1096 - Procedural Effects Readability Pass"
