path,type,usage,width,height,size_kb,format,quality_risk,notes
public/assets/ui/title/title_hub_bg.png,background,title,941,1672,1886,PNG,low,"High-res portrait background; good fit for DPR2 mobile."
public/assets/ui/worldmap/world_map_minimap_16_9.png,background,worldmap,1672,941,2827,PNG,medium,"Large enough but visually soft/AI-art; P2 polish."
public/assets/map/world_map.png,background,worldmap,941,1672,2807,PNG,medium,"Large portrait map; slight softness visible."
public/assets/ui/castle/castle_gameplay_bg.png,background,gameplay castle,941,1672,1598,PNG,low,"High-res; contrast issue comes from overlay entities, not background resolution."
public/assets/ui/sonic/sonic_gameplay_bg.png,background,gameplay sonic,941,1672,1781,PNG,low,"Bright background; runtime pickup_secondary is the main blur issue."
public/assets/ui/streets/streets_gameplay_bg.png,background,gameplay streets,941,1672,1957,PNG,medium,"Dense warm image; can compete with crowd/pickup details."
public/assets/ui/fighter/fighter_gameplay_bg.png,background,gameplay fighter,941,1672,2365,PNG,medium,"Detailed AI-art; style mismatch with pixel sprites."
public/assets/ui/outrun/outrun_gameplay_bg.png,background,gameplay outrun,941,1672,1660,PNG,low,"Best visual fit; neon contrast supports readability."
public/assets/ui/shinobi/shinobi_gameplay_bg.png,background,gameplay shinobi,941,1672,1597,PNG,medium,"Very dark; shuriken and grid lose contrast."
public/assets/ui/kombat/kombat_gameplay_bg.png,background,gameplay kombat,941,1672,1549,PNG,high,"Red palette conflicts with finish token and dark board."
public/assets/ui/kombat/kombat_boss_system_bg.png,background,boss kombat,941,1672,2167,PNG,high,"Very dark; boss board captured nearly black."
public/assets/ui/shinobi/shinobi_boss_system_bg.png,background,boss shinobi,941,1672,2503,PNG,high,"Capture all black; check preload/timing/fallback."
public/assets/runtime/universes/sonic/pickup_ring.png,pickup,sonic primary,450,450,154,PNG,low,"Downscales cleanly; contrast acceptable."
public/assets/runtime/universes/sonic/pickup_secondary.png,pickup,sonic secondary,32,32,0.2,PNG,high,"Representative 32px secondary pickup; upscaled and blurry."
public/assets/runtime/universes/kombat/pickup_finish_token.png,pickup,kombat primary,1254,1254,2575,PNG,high,"Huge asset but palette too close to red board; invisible in capture."
public/assets/runtime/universes/shinobi/pickup_shuriken.png,pickup,shinobi primary,256,256,52,PNG,medium,"Resolution acceptable; contrast too low on dark board."
public/assets/runtime/universes/paperboy/pickup_newspaper.png,pickup,paperboy primary,256,191,76,PNG,low,"Readable and coherent."
public/assets/runtime/universes/streets/pickup_street_bonus.png,pickup,streets primary,1254,1254,2536,PNG,medium,"Very large source downscaled; visible but not crisp."
public/assets/runtime/universes/sonic/obstacle_bumper.png,obstacle,sonic obstacle,1254,1254,1830,PNG,medium,"Heavy downscale with LINEAR creates soft edges."
public/assets/runtime/universes/fighter/obstacle_charge_marker.png,obstacle,fighter obstacle,1254,1254,1981,PNG,medium,"Large generated PNG downscaled; normal gameplay remains readable."
public/assets/runtime/universes/outrun/obstacle_car.png,obstacle,outrun obstacle,1254,1254,1551,PNG,low,"Pixel-art car remains readable despite downscale."
public/assets/runtime/universes/paperboy/obstacle_dog.png,obstacle,paperboy obstacle,1254,1254,2093,PNG,low,"Large but high contrast on bright gameplay."
public/assets/runtime/universes/sonic/boss_loop_serpent.png,boss,sonic boss,1254,1254,1905,PNG,high,"Downscaled roughly x24 to small sprite; soft."
public/assets/runtime/universes/fighter/boss_idle.png,boss,fighter boss,1254,1254,2192,PNG,high,"Soft downscale and weak contrast on red board."
public/assets/runtime/universes/kombat/boss_idle.png,boss,kombat boss,1254,1254,2769,PNG,high,"Source large; rendered scene too dark to distinguish."
public/assets/runtime/universes/shinobi/boss_shadow_ninja.png,boss,shinobi boss,256,250,75,PNG,high,"Resolution okay; black capture prevents quality confirmation."
public/assets/runtime/universes/paperboy/boss_neighborhood_chaos.png,boss,paperboy boss,256,233,125,PNG,low,"Readable boss asset at current size."
public/assets/runtime/universes/castle/icon_pickup_magic_star.svg,openmoji,pickup castle,vector,vector,4.6,SVG,low,"Source vector; runtime rasterization acceptable."
public/assets/runtime/universes/castle/icon_obstacle_brick.svg,openmoji,obstacle castle,vector,vector,3.2,SVG,medium,"Vector source okay; low alpha makes it hard to see."
public/assets/runtime/universes/outrun/icon_pickup_trophy.svg,openmoji,pickup outrun,vector,vector,2.2,SVG,low,"High contrast and visually successful."
public/assets/runtime/universes/paperboy/icon_delivery_mailbox.svg,openmoji,paperboy mailbox,vector,vector,3.5,SVG,low,"Readable and coherent."
